gesture,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.0,"0.5299786329269409,0.36079105734825134,-7.049077765941547e-08","0.5250226855278015,0.3373393416404724,-0.0026055045891553164","0.5230090618133545,0.31983324885368347,-0.00535243796184659","0.5244643688201904,0.30949392914772034,-0.008399292826652527","0.5289892554283142,0.3163856863975525,-0.01089401077479124","0.540600597858429,0.303384006023407,-0.0007688538171350956","0.5331923961639404,0.3032667934894562,-0.004594266880303621","0.5293179154396057,0.312283456325531,-0.007414141669869423","0.530389666557312,0.31549081206321716,-0.00925959087908268","0.5445898175239563,0.3117881417274475,-0.001914160675369203","0.5348453521728516,0.3149053752422333,-0.005198617931455374","0.5317003726959229,0.3219139873981476,-0.006062393542379141","0.5326879024505615,0.3245549201965332,-0.006312935147434473","0.5468937754631042,0.3231513500213623,-0.0037520118057727814","0.5369672775268555,0.3263566792011261,-0.00650352519005537","0.5341707468032837,0.331564724445343,-0.005467777606099844","0.5352838039398193,0.33312928676605225,-0.004302515648305416","0.548037588596344,0.33542561531066895,-0.006129848770797253","0.540398895740509,0.33702531456947327,-0.006902371067553759","0.5374425053596497,0.34074971079826355,-0.005528594367206097","0.5379155278205872,0.34277793765068054,-0.00416109012439847"
0.0,"0.5301720499992371,0.3566185235977173,-8.117920202721507e-08","0.5255395174026489,0.3374547064304352,-0.0019210082245990634","0.5229611396789551,0.3199499845504761,-0.004128297325223684","0.525200605392456,0.30994629859924316,-0.0066135600209236145","0.5293262004852295,0.3180217742919922,-0.008566247299313545","0.5397488474845886,0.3052579164505005,-0.0007909736596047878","0.5361707806587219,0.3027023673057556,-0.004511433187872171","0.5320772528648376,0.3088451027870178,-0.0071556465700268745","0.5314715504646301,0.3124118149280548,-0.008824880234897137","0.5445772409439087,0.31268155574798584,-0.001955136889591813","0.5378777384757996,0.31420037150382996,-0.005181223154067993","0.5337048768997192,0.320037305355072,-0.005945575423538685","0.5328218936920166,0.32359185814857483,-0.005983815994113684","0.5474276542663574,0.32295912504196167,-0.003722617169842124","0.5391783714294434,0.326768696308136,-0.006145539227873087","0.5351859927177429,0.33116406202316284,-0.005400803871452808","0.534291684627533,0.33354222774505615,-0.0044665709137916565","0.5488366484642029,0.33461451530456543,-0.005976587999612093","0.5414353013038635,0.3373147249221802,-0.006872294470667839","0.5370146036148071,0.3400379419326782,-0.006114017218351364","0.5352227091789246,0.34167423844337463,-0.005188323557376862"
0.0,"0.5310856699943542,0.3510465621948242,-8.171287646518977e-08","0.5266253352165222,0.3351071774959564,-0.0028262189589440823","0.5238487124443054,0.3199014663696289,-0.005298692733049393","0.5251287221908569,0.3108987510204315,-0.007641942705959082","0.5298243165016174,0.3147765100002289,-0.009243456646800041","0.5414909720420837,0.3022051751613617,-0.002144482685253024","0.5354293584823608,0.3039180636405945,-0.005801073741167784","0.5311743021011353,0.3106016218662262,-0.008216706104576588","0.5306724309921265,0.3128311038017273,-0.00976614747196436","0.546101450920105,0.31062576174736023,-0.0028620322700589895","0.5364090204238892,0.31564784049987793,-0.005740506108850241","0.5323231220245361,0.32149145007133484,-0.0063468897715210915","0.5323011875152588,0.3226688504219055,-0.006499764043837786","0.5484773516654968,0.32162705063819885,-0.0041721174493432045","0.537998378276825,0.3273003101348877,-0.006540071684867144","0.5345140099525452,0.33201223611831665,-0.005392163991928101","0.5350365042686462,0.3323514461517334,-0.004382115788757801","0.5493708848953247,0.3335320055484772,-0.006017002277076244","0.5407785773277283,0.3368293344974518,-0.007202581502497196","0.53760826587677,0.34017613530158997,-0.006228535436093807","0.5378566384315491,0.3406848907470703,-0.0051238760352134705"
0.0,"0.5316083431243896,0.35082757472991943,-7.491289721883732e-08","0.5272315740585327,0.3347020745277405,-0.0018959693843498826","0.5247426629066467,0.31781601905822754,-0.003765624947845936","0.5270630121231079,0.30966314673423767,-0.005728878080844879","0.5317513942718506,0.3162772059440613,-0.007246086373925209","0.5410378575325012,0.3040192723274231,-0.0013813935220241547","0.5386583805084229,0.3020985722541809,-0.0047668470069766045","0.5361849069595337,0.30301979184150696,-0.0072758374735713005","0.5347831845283508,0.30272650718688965,-0.008964688517153263","0.5462131500244141,0.3113875389099121,-0.0024576333817094564","0.5379026532173157,0.31606537103652954,-0.005494318436831236","0.5335201025009155,0.32181787490844727,-0.006129444111138582","0.5328530073165894,0.32380861043930054,-0.0061394148506224155","0.548787534236908,0.32171711325645447,-0.0040568457916378975","0.5395892262458801,0.3273795247077942,-0.0061786300502717495","0.5359889268875122,0.3320155739784241,-0.00486124400049448","0.536037027835846,0.33315348625183105,-0.003699928056448698","0.5497443079948425,0.3333045244216919,-0.006183923222124577","0.5418627262115479,0.33700910210609436,-0.0072550238110125065","0.5387665033340454,0.340593159198761,-0.006240626331418753","0.5389896631240845,0.34154629707336426,-0.005115566775202751"
0.0,"0.5326662659645081,0.3481566309928894,-7.970856330530296e-08","0.5281475782394409,0.33340099453926086,-0.0019046177621930838","0.5255315899848938,0.31711798906326294,-0.0036742226220667362","0.5278502106666565,0.30975866317749023,-0.00551292859017849","0.5325058698654175,0.31627583503723145,-0.006961664650589228","0.5424420237541199,0.3040187358856201,-0.0014118571998551488","0.5387482643127441,0.3011001646518707,-0.004630832467228174","0.535332441329956,0.3041907250881195,-0.0069783697836101055","0.5339901447296143,0.305879145860672,-0.008516648784279823","0.5475401878356934,0.31149134039878845,-0.002323831431567669","0.5391833186149597,0.31444716453552246,-0.004966655280441046","0.5347569584846497,0.32103461027145386,-0.005569921340793371","0.5342996120452881,0.3238028287887573,-0.005620918702334166","0.5501677393913269,0.32194143533706665,-0.00371620268560946","0.5411823391914368,0.3258025050163269,-0.005848583299666643","0.5373916029930115,0.33120229840278625,-0.0046880231238901615","0.5373284220695496,0.3331502079963684,-0.003576617920771241","0.5512608289718628,0.3335177004337311,-0.005547886714339256","0.5441290736198425,0.33514001965522766,-0.00669901492074132","0.5406360626220703,0.3389534652233124,-0.005584748461842537","0.5403620600700378,0.3407214879989624,-0.004337911494076252"
0.0,"0.5345412492752075,0.34834298491477966,-6.822619269541974e-08","0.530344545841217,0.33317652344703674,-0.0023039362858980894","0.5279409289360046,0.31725379824638367,-0.004271782469004393","0.5295560956001282,0.30869898200035095,-0.0062114824540913105","0.5340782999992371,0.3131152391433716,-0.0075333756394684315","0.5449578762054443,0.30261319875717163,-0.0011668129591271281","0.5387638807296753,0.30152347683906555,-0.005025165621191263","0.5363149046897888,0.3073565363883972,-0.007613035850226879","0.5373167395591736,0.3090815544128418,-0.009194179438054562","0.5495874881744385,0.3105134963989258,-0.002058949088677764","0.5409687757492065,0.31294959783554077,-0.005316323600709438","0.5371482372283936,0.3197510540485382,-0.005940653383731842","0.5378242135047913,0.32133305072784424,-0.005839833989739418","0.5519644618034363,0.3210243284702301,-0.0035769976675510406","0.5429937839508057,0.32409238815307617,-0.006206962279975414","0.5391964316368103,0.3293147683143616,-0.004826352000236511","0.5400094389915466,0.3300277590751648,-0.0034441191237419844","0.5526670813560486,0.33261731266975403,-0.005584733560681343","0.5455172061920166,0.3340650796890259,-0.0067855785600841045","0.541846752166748,0.3374609053134918,-0.005563295446336269","0.5420013666152954,0.3381877541542053,-0.004188888240605593"
0.0,"0.535968005657196,0.34724554419517517,-6.788054918160924e-08","0.53215491771698,0.33230337500572205,-0.001397274318151176","0.5304581522941589,0.3158211410045624,-0.0028187676798552275","0.5333876609802246,0.30862727761268616,-0.004499438218772411","0.5381385087966919,0.3152289092540741,-0.0059440587647259235","0.5457618236541748,0.30523717403411865,-0.00029038143111392856","0.5449827313423157,0.3013909161090851,-0.0033124026376754045","0.5427412390708923,0.30073460936546326,-0.005889388266950846","0.5408690571784973,0.30038049817085266,-0.007667921017855406","0.5509458184242249,0.31181812286376953,-0.0014815082540735602","0.5448639392852783,0.313121497631073,-0.004103647544980049","0.5402746200561523,0.3188278377056122,-0.004928524140268564","0.5390576720237732,0.322208970785141,-0.005085797980427742","0.5536191463470459,0.32142776250839233,-0.0031808072235435247","0.5462910532951355,0.323821097612381,-0.00525309331715107","0.5422112941741943,0.3286496102809906,-0.004278772044926882","0.5415452718734741,0.33112579584121704,-0.0032957694493234158","0.5547065138816833,0.33239415287971497,-0.005303267389535904","0.5484835505485535,0.3334304690361023,-0.006401462014764547","0.5446122884750366,0.33687734603881836,-0.005386251490563154","0.5438450574874878,0.33876878023147583,-0.00430327607318759"
0.0,"0.5377185344696045,0.34635689854621887,-7.13799437335183e-08","0.5342753529548645,0.332053005695343,-0.0019090345595031977","0.532710611820221,0.31596624851226807,-0.003629909595474601","0.5358297824859619,0.3091591000556946,-0.005436871666461229","0.5407874584197998,0.31460803747177124,-0.006692914292216301","0.5492989420890808,0.3031209707260132,-0.0005825617699883878","0.5456753373146057,0.3004086911678314,-0.004507066216319799","0.5423666834831238,0.30417826771736145,-0.007333327550441027","0.5413148999214172,0.30535945296287537,-0.009079862385988235","0.5540036559104919,0.3105260729789734,-0.0016914594452828169","0.5473597645759583,0.3115251362323761,-0.004876050632447004","0.5430310368537903,0.31772580742836,-0.005619314964860678","0.5425906181335449,0.31927505135536194,-0.005620107986032963","0.5562987327575684,0.3206714391708374,-0.003443904221057892","0.5484907031059265,0.32312843203544617,-0.00588199170306325","0.5443796515464783,0.32845795154571533,-0.004558912944048643","0.544437825679779,0.32911762595176697,-0.003334167879074812","0.5569650530815125,0.3321114480495453,-0.005681709386408329","0.5501304864883423,0.3336912989616394,-0.006978084798902273","0.5461480021476746,0.3372979760169983,-0.005909097846597433","0.5458625555038452,0.3379504084587097,-0.004725027829408646"
0.0,"0.5391150116920471,0.3454354405403137,-7.239847121809362e-08","0.5357046723365784,0.33056265115737915,-0.002024788875132799","0.5345724821090698,0.31403735280036926,-0.0037534984294325113","0.5373815298080444,0.30744799971580505,-0.005572963505983353","0.5415796637535095,0.3143920302391052,-0.006755746901035309","0.5507721304893494,0.3026532232761383,-0.000858618295751512","0.5462986826896667,0.29941561818122864,-0.005048507824540138","0.542810320854187,0.3057563602924347,-0.007557563483715057","0.5432971715927124,0.3077000677585602,-0.009067224338650703","0.5553898811340332,0.31024906039237976,-0.001957688480615616","0.5481505990028381,0.3105470538139343,-0.005756891332566738","0.5430768728256226,0.31784552335739136,-0.00606529088690877","0.5436229705810547,0.3194662630558014,-0.00550063094124198","0.5576929450035095,0.3204847574234009,-0.0037774036172777414","0.5493252873420715,0.32262828946113586,-0.006761347409337759","0.5449297428131104,0.32872530817985535,-0.005048178136348724","0.5461381077766418,0.3295154273509979,-0.003327692626044154","0.5584189295768738,0.331800252199173,-0.006079619284719229","0.5510191917419434,0.3329452574253082,-0.007412695791572332","0.5475044250488281,0.33740857243537903,-0.006171202752739191","0.5487010478973389,0.3385244309902191,-0.004795130807906389"
0.0,"0.5408416986465454,0.345705509185791,-6.834887500417608e-08","0.5375558137893677,0.3304230272769928,-0.002197736408561468","0.5365330576896667,0.31438812613487244,-0.003933877684175968","0.5388368368148804,0.30683907866477966,-0.005665106233209372","0.5431262850761414,0.3115758001804352,-0.00672134617343545","0.5533230304718018,0.30267152190208435,-0.0007661557756364346","0.547688901424408,0.30023589730262756,-0.004727122373878956","0.544578492641449,0.30586719512939453,-0.007108800578862429","0.5457639098167419,0.3066619038581848,-0.008469056338071823","0.5574496388435364,0.3106553852558136,-0.0017388173146173358","0.5493623614311218,0.3106630742549896,-0.00519191101193428","0.5450788736343384,0.3175860643386841,-0.005502526648342609","0.5463011860847473,0.31900182366371155,-0.005014210473746061","0.5593680143356323,0.32093870639801025,-0.003400717629119754","0.5506820678710938,0.32224470376968384,-0.006398944184184074","0.5464342832565308,0.32786327600479126,-0.004783948417752981","0.5476488471031189,0.32874128222465515,-0.0030681283678859472","0.5598223805427551,0.33228519558906555,-0.00553095294162631","0.5526190400123596,0.33259421586990356,-0.006889405194669962","0.5486980676651001,0.3363727927207947,-0.0055664461106061935","0.5491760969161987,0.3374555706977844,-0.00404459610581398"
