gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.3703780174255371,0.7516431212425232,-4.297008331377583e-07","0.4244137108325958,0.6992508769035339,-0.03596781566739082","0.46259695291519165,0.5575888752937317,-0.0472303107380867","0.44922518730163574,0.4268002212047577,-0.05528095364570618","0.4186175763607025,0.33574774861335754,-0.05521151050925255","0.4406338036060333,0.433123916387558,-0.006936179473996162","0.46129491925239563,0.34587717056274414,-0.04300515353679657","0.46232789754867554,0.4486570656299591,-0.05639369785785675","0.44747066497802734,0.48151496052742004,-0.05987541750073433","0.3942507207393646,0.43269193172454834,-0.004293337929993868","0.4109509587287903,0.3439081013202667,-0.04288627952337265","0.4217087924480438,0.47720399498939514,-0.048642370849847794","0.4066687822341919,0.4924103319644928,-0.0423089824616909","0.34942007064819336,0.4561036229133606,-0.00935649685561657","0.36604738235473633,0.38345587253570557,-0.05815335735678673","0.3857079744338989,0.5143430233001709,-0.04790736362338066","0.3713158071041107,0.53169846534729,-0.028106186538934708","0.3003397583961487,0.49453985691070557,-0.0159524567425251","0.3263883888721466,0.4469146728515625,-0.048301465809345245","0.34860965609550476,0.5300312638282776,-0.03736050799489021","0.3397979736328125,0.5470885038375854,-0.02086186408996582"
0.0,"0.3704867660999298,0.7590183019638062,-3.691323513521638e-07","0.4218353033065796,0.6969486474990845,-0.03614792972803116","0.45773762464523315,0.5569706559181213,-0.049927596002817154","0.4505635201931,0.43004080653190613,-0.06110227853059769","0.42202475666999817,0.3380935788154602,-0.0638100728392601","0.43819722533226013,0.425568550825119,-0.007853420451283455","0.4582482874393463,0.3446948826313019,-0.04581791162490845","0.4580407440662384,0.44835489988327026,-0.06052692234516144","0.4418071210384369,0.4784454107284546,-0.0648028776049614","0.3929024338722229,0.42743396759033203,-0.006220740266144276","0.40674254298210144,0.34656572341918945,-0.04476848989725113","0.41689977049827576,0.4821692705154419,-0.04934852570295334","0.4030405282974243,0.48886412382125854,-0.042657580226659775","0.34780168533325195,0.4515009820461273,-0.012646999210119247","0.3640940189361572,0.3879633843898773,-0.061017271131277084","0.38310807943344116,0.5184301137924194,-0.04919801652431488","0.37013864517211914,0.5282974243164062,-0.02902010641992092","0.29906898736953735,0.48977166414260864,-0.020929601043462753","0.32450082898139954,0.4498893618583679,-0.052440494298934937","0.345506489276886,0.5318722724914551,-0.04035348445177078","0.3365873694419861,0.5443658828735352,-0.02338576689362526"
0.0,"0.3690682649612427,0.7589142322540283,-3.680700331187836e-07","0.4213356673717499,0.693840503692627,-0.037630800157785416","0.4569650888442993,0.5572203993797302,-0.05166929215192795","0.4485516846179962,0.4296741485595703,-0.06305867433547974","0.4236311912536621,0.336355984210968,-0.06572078168392181","0.4367954432964325,0.4268713891506195,-0.006308394949883223","0.4578675925731659,0.34278833866119385,-0.04493921995162964","0.45751920342445374,0.4460108280181885,-0.05975876748561859","0.44163286685943604,0.4740225374698639,-0.06379727274179459","0.3927359879016876,0.4306751489639282,-0.0036968437489122152","0.40638622641563416,0.3474641740322113,-0.043356891721487045","0.4170485734939575,0.4825569987297058,-0.04796343669295311","0.40468209981918335,0.4879274070262909,-0.04088669642806053","0.34867560863494873,0.4553096294403076,-0.009531280025839806","0.36304622888565063,0.38772764801979065,-0.05919702723622322","0.38231393694877625,0.518994927406311,-0.04654949530959129","0.37110796570777893,0.5297190546989441,-0.02506604790687561","0.299715518951416,0.49242112040519714,-0.01736396737396717","0.32245686650276184,0.4474973678588867,-0.048656150698661804","0.34424257278442383,0.5299902558326721,-0.03566577285528183","0.3372783064842224,0.5439740419387817,-0.017749717459082603"
0.0,"0.36985915899276733,0.7594333291053772,-3.6557275961968116e-07","0.42199674248695374,0.6917818188667297,-0.03637171536684036","0.45752641558647156,0.5557425022125244,-0.05078094080090523","0.44895660877227783,0.429085910320282,-0.06296174228191376","0.4211043119430542,0.3366926610469818,-0.06681692600250244","0.43542641401290894,0.42640137672424316,-0.007401525974273682","0.4580094814300537,0.3414815664291382,-0.04622286930680275","0.4582095444202423,0.4449722170829773,-0.06130213290452957","0.4415442645549774,0.4755115211009979,-0.06552644819021225","0.39131107926368713,0.4302135407924652,-0.005660078953951597","0.40657442808151245,0.34699949622154236,-0.045463014394044876","0.41752108931541443,0.4828789234161377,-0.050831571221351624","0.40382495522499084,0.4894692003726959,-0.04452913627028465","0.34767234325408936,0.45478689670562744,-0.011959603056311607","0.36385151743888855,0.3860580027103424,-0.061490871012210846","0.38350439071655273,0.518268883228302,-0.04909810796380043","0.3714490234851837,0.5305007696151733,-0.0280509851872921","0.2990444600582123,0.49212267994880676,-0.02009482868015766","0.3233076333999634,0.44597136974334717,-0.051593612879514694","0.34589749574661255,0.5290604829788208,-0.03856850787997246","0.3391878306865692,0.5449786186218262,-0.02072019688785076"
0.0,"0.3686925768852234,0.7597142457962036,-3.752606971829664e-07","0.4211936891078949,0.6935961246490479,-0.03626122325658798","0.45698368549346924,0.5569633841514587,-0.05032235011458397","0.44961827993392944,0.42909425497055054,-0.062302082777023315","0.42317670583724976,0.3364110291004181,-0.06578665971755981","0.4354395270347595,0.4267427325248718,-0.0055848234333097935","0.4577822685241699,0.34220921993255615,-0.04454485699534416","0.45762673020362854,0.4462275505065918,-0.05955309048295021","0.4414174556732178,0.47581347823143005,-0.06374067068099976","0.3915645182132721,0.4305293560028076,-0.004015426151454449","0.4063040316104889,0.34739845991134644,-0.04422009736299515","0.4170549511909485,0.48330506682395935,-0.0492766909301281","0.404136598110199,0.4885983467102051,-0.04252053424715996","0.3479230999946594,0.4552052319049835,-0.010729555040597916","0.3634611666202545,0.3866029381752014,-0.06094898283481598","0.3829728066921234,0.5187568664550781,-0.04829895868897438","0.3713257908821106,0.530246376991272,-0.026791192591190338","0.2991657257080078,0.4925220012664795,-0.01931018754839897","0.32299304008483887,0.44675108790397644,-0.05123429745435715","0.345107764005661,0.5304932594299316,-0.03816618397831917","0.3382911682128906,0.5460691452026367,-0.02011452056467533"
0.0,"0.36988481879234314,0.7599429488182068,-3.563333166312077e-07","0.42240265011787415,0.6923710107803345,-0.036333244293928146","0.45769983530044556,0.556686520576477,-0.05103477090597153","0.4498239755630493,0.4293244481086731,-0.06369128078222275","0.4228754937648773,0.33717429637908936,-0.06797199696302414","0.43642693758010864,0.42636367678642273,-0.0062421890906989574","0.45805448293685913,0.3402441442012787,-0.04534825310111046","0.45931339263916016,0.44053158164024353,-0.06020978465676308","0.4439637362957001,0.4732511639595032,-0.0638522133231163","0.39205923676490784,0.43045127391815186,-0.004471194930374622","0.4068177044391632,0.3451077342033386,-0.04415204003453255","0.41808128356933594,0.48090147972106934,-0.048759665340185165","0.40521150827407837,0.4884529411792755,-0.04152420535683632","0.34830549359321594,0.45517387986183167,-0.0109489057213068","0.36393606662750244,0.38662874698638916,-0.06057810038328171","0.3835371434688568,0.5181451439857483,-0.047825753688812256","0.37156927585601807,0.53078693151474,-0.026218615472316742","0.29964953660964966,0.4927700161933899,-0.019307592883706093","0.3229101896286011,0.4458698630332947,-0.05080587789416313","0.3453315198421478,0.5286040902137756,-0.03765900060534477","0.33856356143951416,0.544691264629364,-0.019531508907675743"
0.0,"0.3691742718219757,0.7605644464492798,-3.804177310939849e-07","0.42261630296707153,0.6944142580032349,-0.03463055565953255","0.4580886662006378,0.5570897459983826,-0.04800393804907799","0.45014774799346924,0.4292723834514618,-0.059508033096790314","0.42352494597435,0.33704873919487,-0.06261889636516571","0.4367014467716217,0.42876166105270386,-0.005486416630446911","0.46035730838775635,0.3425319790840149,-0.04404409974813461","0.4602951109409332,0.4458073079586029,-0.058494552969932556","0.4446897804737091,0.4763447642326355,-0.06233391910791397","0.39250943064689636,0.43183231353759766,-0.004787513520568609","0.4089546203613281,0.3444662094116211,-0.044664621353149414","0.41878315806388855,0.4799933433532715,-0.04940648749470711","0.4057946801185608,0.4871940612792969,-0.042409904301166534","0.3487112522125244,0.4562384784221649,-0.012134336866438389","0.3654940128326416,0.38709983229637146,-0.06207228824496269","0.3841511607170105,0.5188019275665283,-0.04954630509018898","0.37227046489715576,0.5300515294075012,-0.02813938818871975","0.3003057539463043,0.493211567401886,-0.021163007244467735","0.324418842792511,0.44637447595596313,-0.05272070690989494","0.3464391827583313,0.5300877690315247,-0.03945600613951683","0.33972352743148804,0.5455352067947388,-0.021412307396531105"
0.0,"0.37007927894592285,0.7599217891693115,-3.666537224944477e-07","0.42277345061302185,0.6942307949066162,-0.035453107208013535","0.4578741788864136,0.5574462413787842,-0.04961724206805229","0.4508763551712036,0.43042072653770447,-0.06196098029613495","0.42362552881240845,0.33860427141189575,-0.0660901740193367","0.4372955560684204,0.42720022797584534,-0.006103131920099258","0.4590469300746918,0.3397088646888733,-0.045855991542339325","0.46024441719055176,0.4409116208553314,-0.061581630259752274","0.4447755217552185,0.47538596391677856,-0.06574602425098419","0.3929515480995178,0.43067803978919983,-0.004946854896843433","0.40755602717399597,0.3446190357208252,-0.04503636062145233","0.41874825954437256,0.4801364541053772,-0.05027202516794205","0.40609681606292725,0.48954570293426514,-0.043459199368953705","0.3490569591522217,0.45511966943740845,-0.012001817114651203","0.3651774525642395,0.38808736205101013,-0.06167788431048393","0.38440608978271484,0.5187841653823853,-0.04954424872994423","0.3727848529815674,0.5314221382141113,-0.02838640846312046","0.30053481459617615,0.49253812432289124,-0.02089310623705387","0.3241308927536011,0.4472368657588959,-0.05248553678393364","0.3464253842830658,0.5299312472343445,-0.03964001312851906","0.3399229645729065,0.5460653305053711,-0.021778758615255356"
0.0,"0.3697049021720886,0.7605500221252441,-3.736826386102621e-07","0.42299628257751465,0.6946104764938354,-0.03532250598073006","0.4580157399177551,0.5574742555618286,-0.04941964149475098","0.4507010579109192,0.4300890266895294,-0.061752453446388245","0.42301782965660095,0.33859655261039734,-0.06580241769552231","0.43657663464546204,0.4267568588256836,-0.006290121003985405","0.4579567611217499,0.33866530656814575,-0.04631424695253372","0.4598899483680725,0.4412781596183777,-0.06212775036692619","0.44479015469551086,0.47614941000938416,-0.06635846942663193","0.39208340644836426,0.4303234815597534,-0.005370473023504019","0.4065789580345154,0.34487324953079224,-0.04561220481991768","0.4184865951538086,0.4804823398590088,-0.050899095833301544","0.4059547185897827,0.48905810713768005,-0.04420033469796181","0.34813714027404785,0.45484817028045654,-0.01269492320716381","0.3645118176937103,0.38839274644851685,-0.06285268068313599","0.3842819929122925,0.519193172454834,-0.05088694393634796","0.3728921711444855,0.5309882760047913,-0.029764946550130844","0.2998180687427521,0.49262651801109314,-0.021821241825819016","0.323664128780365,0.4462743103504181,-0.053875017911195755","0.3465108573436737,0.5299010872840881,-0.04103091359138489","0.3403894603252411,0.546806812286377,-0.023082757368683815"
0.0,"0.36836475133895874,0.760728120803833,-3.87222968356582e-07","0.4217166006565094,0.6947741508483887,-0.034294504672288895","0.4576649069786072,0.5579126477241516,-0.04820835217833519","0.4513269364833832,0.431092232465744,-0.06057736277580261","0.4237280488014221,0.341300368309021,-0.06465782225131989","0.43606486916542053,0.426211953163147,-0.005889054853469133","0.45756828784942627,0.3373787999153137,-0.04558577761054039","0.45941758155822754,0.44327500462532043,-0.061106517910957336","0.4448243975639343,0.47737324237823486,-0.06528663635253906","0.3913160264492035,0.43023231625556946,-0.005453512072563171","0.4061448574066162,0.34422385692596436,-0.045404672622680664","0.41748857498168945,0.48188668489456177,-0.05023856833577156","0.40458741784095764,0.48972412943840027,-0.043392084538936615","0.34718817472457886,0.45494934916496277,-0.013131882064044476","0.3635808229446411,0.3874891996383667,-0.06262920796871185","0.3829795718193054,0.5189846754074097,-0.04987945035099983","0.3713701665401459,0.5302631258964539,-0.028558120131492615","0.29864877462387085,0.4924274981021881,-0.022554263472557068","0.32224059104919434,0.4449160099029541,-0.053649768233299255","0.3449384570121765,0.5290679931640625,-0.039966389536857605","0.33874428272247314,0.546244740486145,-0.0216908510774374"
