gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.45400404930114746,0.4021186828613281,-0.37475040555000305","0.5084565877914429,0.38399696350097656,-0.07561483234167099","0.38689225912094116,0.3955933749675751,-0.12083546817302704","0.5999613404273987,0.6985684037208557,0.020360160619020462","0.8021920919418335,0.43697383999824524,-0.14048604667186737","0.5622286200523376,0.380823016166687,-0.0030300039798021317","0.5663188099861145,1.5105228424072266,0.09033600986003876","0.5663188099861145,1.5105228424072266,0.09033600986003876"
0.0,"0.45401519536972046,0.4024350345134735,-0.3609161376953125","0.508192777633667,0.3840284049510956,-0.0587436743080616","0.3870895504951477,0.3955253064632416,-0.12043590843677521","0.5999140739440918,0.6899375915527344,0.03751709312200546","0.8017772436141968,0.4384016990661621,-0.07083768397569656","0.5612202882766724,0.37454497814178467,0.14308299124240875","0.5718283653259277,1.51076340675354,0.09653587639331818","0.5718283653259277,1.51076340675354,0.09653587639331818"
0.0,"0.4540225565433502,0.40531125664711,-0.37016382813453674","0.5079096555709839,0.3867841958999634,-0.05792222544550896","0.38685405254364014,0.3980971872806549,-0.12353533506393433","0.5986431837081909,0.6900302171707153,0.036460135132074356","0.8017290830612183,0.4385509192943573,-0.1443752944469452","0.5613363981246948,0.3770337700843811,-0.052637357264757156","0.5743054151535034,1.5109268426895142,0.09843379259109497","0.5743054151535034,1.5109268426895142,0.09843379259109497"
0.0,"0.4530733525753021,0.4071999788284302,-0.45145779848098755","0.5069193243980408,0.38672617077827454,-0.11309422552585602","0.38648146390914917,0.39916282892227173,-0.1633744090795517","0.5986781716346741,0.6901953220367432,-0.010846071876585484","0.8014776110649109,0.4387659728527069,-0.21708731353282928","0.5608581900596619,0.3870229423046112,-0.13835735619068146","0.5743751525878906,1.5101120471954346,0.09544046223163605","0.5743751525878906,1.5101120471954346,0.09544046223163605"
0.0,"0.4490525722503662,0.4073430895805359,-0.40844035148620605","0.5048364400863647,0.3863983452320099,-0.10632185637950897","0.386411190032959,0.3994685411453247,-0.14364232122898102","0.5992748737335205,0.6900119185447693,-0.00511899683624506","0.8004789352416992,0.4387784004211426,-0.19383317232131958","0.5573423504829407,0.3922545611858368,-0.08551684767007828","0.5757587552070618,1.5115801095962524,0.09426833689212799","0.5757587552070618,1.5115801095962524,0.09426833689212799"
0.0,"0.448108971118927,0.42058271169662476,-0.38928109407424927","0.5046311616897583,0.3893592953681946,-0.10252480208873749","0.3866932988166809,0.40539810061454773,-0.12925368547439575","0.5994250178337097,0.6935609579086304,-0.003048744983971119","0.7994705438613892,0.4388902485370636,-0.19291561841964722","0.5561183094978333,0.40166324377059937,-0.09620869159698486","0.5749967694282532,1.5146925449371338,0.09039226919412613","0.5749967694282532,1.5146925449371338,0.09039226919412613"
0.0,"0.4479700028896332,0.4361210763454437,-0.4547712206840515","0.5044016242027283,0.40298712253570557,-0.1704941838979721","0.38773295283317566,0.41510453820228577,-0.19227977097034454","0.5997089743614197,0.6960536241531372,-0.08126148581504822","0.7989030480384827,0.43906229734420776,-0.291271448135376","0.5547271966934204,0.41452455520629883,-0.23480510711669922","0.5745173692703247,1.517296314239502,0.07811581343412399","0.5745173692703247,1.517296314239502,0.07811581343412399"
0.0,"0.44534915685653687,0.44054049253463745,-0.44260793924331665","0.5037001371383667,0.40892332792282104,-0.14599032700061798","0.38770154118537903,0.42173898220062256,-0.1811387687921524","0.600108802318573,0.6978638768196106,-0.05957580730319023","0.7977371215820312,0.43932443857192993,-0.2511151432991028","0.5522362589836121,0.4190433919429779,-0.14533594250679016","0.5745186805725098,1.518581509590149,0.07632160931825638","0.5745186805725098,1.518581509590149,0.07632160931825638"
0.0,"0.4458846151828766,0.44112423062324524,-0.4200172424316406","0.504141628742218,0.413790225982666,-0.12505699694156647","0.3876982629299164,0.4272151589393616,-0.12780442833900452","0.6002148389816284,0.7013569474220276,-0.04620747268199921","0.7940078973770142,0.4396974742412567,-0.27463623881340027","0.5433486700057983,0.42763274908065796,-0.2206648886203766","0.5750672221183777,1.5186750888824463,0.06547410786151886","0.5750672221183777,1.5186750888824463,0.06547410786151886"
0.0,"0.44394269585609436,0.45934706926345825,-0.4491932988166809","0.5040560960769653,0.4208188056945801,-0.16193832457065582","0.3850860595703125,0.4381576478481293,-0.1530655324459076","0.6009796857833862,0.7020002007484436,-0.07992793619632721","0.7939302921295166,0.4400559365749359,-0.30199292302131653","0.5435503721237183,0.4344116151332855,-0.2412625551223755","0.5758020281791687,1.5199391841888428,0.05679897218942642","0.5758020281791687,1.5199391841888428,0.05679897218942642"
0.0,"0.4424004554748535,0.4610329866409302,-0.3376524746417999","0.5032797455787659,0.4238507151603699,-0.06099478155374527","0.38411539793014526,0.4400513172149658,-0.049177490174770355","0.6009918451309204,0.7006303668022156,-0.02182156778872013","0.7914361357688904,0.4400019645690918,-0.28265273571014404","0.5433670282363892,0.44084054231643677,-0.2764989733695984","0.5758075714111328,1.519311547279358,0.053978096693754196","0.5758075714111328,1.519311547279358,0.053978096693754196"
0.0,"0.43887871503829956,0.4617355763912201,-0.32213014364242554","0.5003048181533813,0.42456677556037903,-0.06076064705848694","0.3805442452430725,0.4414997398853302,-0.0481138750910759","0.6004268527030945,0.7006224393844604,-0.015305603854358196","0.7871271371841431,0.43907174468040466,-0.28006550669670105","0.5406728982925415,0.43907105922698975,-0.24094709753990173","0.5740571022033691,1.5199354887008667,0.054451245814561844","0.5740571022033691,1.5199354887008667,0.054451245814561844"
0.0,"0.43836742639541626,0.46250513195991516,-0.42580023407936096","0.4990991950035095,0.42389145493507385,-0.17086796462535858","0.37834298610687256,0.44153812527656555,-0.1657748520374298","0.5986355543136597,0.7005175352096558,-0.09037705510854721","0.7861649394035339,0.4390814006328583,-0.3070264458656311","0.539843738079071,0.4383828043937683,-0.22908861935138702","0.5731397867202759,1.519856572151184,0.055949486792087555","0.5731397867202759,1.519856572151184,0.055949486792087555"
0.0,"0.4384734630584717,0.46906810998916626,-0.501923143863678","0.49873098731040955,0.4261634349822998,-0.2333356887102127","0.37828177213668823,0.4439328908920288,-0.2582704424858093","0.5958152413368225,0.7050144672393799,-0.10437092930078506","0.783003032207489,0.43908992409706116,-0.1885758340358734","0.5395714044570923,0.43724581599235535,0.03638593852519989","0.5685354471206665,1.5215494632720947,0.07624591886997223","0.5685354471206665,1.5215494632720947,0.07624591886997223"
0.0,"0.4362185597419739,0.4896278381347656,-0.5287054181098938","0.4968293309211731,0.4348638653755188,-0.2638893723487854","0.3772575557231903,0.45297685265541077,-0.2783398926258087","0.5950333476066589,0.70269376039505,-0.135767862200737","0.7781688570976257,0.43845003843307495,-0.2021138221025467","0.535596489906311,0.43619105219841003,-0.015194726176559925","0.5640419721603394,1.5214999914169312,0.0781528502702713","0.5640419721603394,1.5214999914169312,0.0781528502702713"
0.0,"0.42936843633651733,0.48357945680618286,-0.4626637101173401","0.49322399497032166,0.43305960297584534,-0.243211030960083","0.37508365511894226,0.4522320628166199,-0.193648099899292","0.5943390130996704,0.6995654702186584,-0.11114977300167084","0.7731962203979492,0.43662309646606445,-0.2141357660293579","0.5326718688011169,0.4335072338581085,-0.09712725877761841","0.5615509152412415,1.5212708711624146,0.07412448525428772","0.5615509152412415,1.5212708711624146,0.07412448525428772"
